name,birth_year,death_year,bio
Virginia Woolf,1882,1941,"English writer, considered one of the most important modernist 20th-century authors and a pioneer in the use of stream of consciousness as a narrative device."
James Joyce,1882,1941,"Irish novelist, short story writer, and poet, considered one of the most influential writers of the 20th century."
F. Scott Fitzgerald,1896,1940,"American novelist, essayist, and short story writer, best known for his novel 'The Great Gatsby'."
Ernest Hemingway,1899,1961,"American novelist, short story writer, and journalist, known for his economical and understated style."
T.S. Eliot,1888,1965,"Poet, essayist, publisher, playwright, and literary critic, considered one of the 20th century's major poets."
Marcel Proust,1871,1922,"French novelist, critic, and essayist best known for his monumental novel 'In Search of Lost Time'."
Franz Kafka,1883,1924,"German-speaking Bohemian novelist and short-story writer, widely regarded as one of the major figures of 20th-century literature."
George Orwell,1903,1950,"English novelist, essayist, journalist, and critic, best known for 'Animal Farm' and '1984'."
Aldous Huxley,1894,1963,"English writer and philosopher, best known for his novel 'Brave New World'."
William Faulkner,1897,1962,"American writer known for his novels and short stories set in the fictional Yoknapatawpha County."

